submission_month,submission_yr,submission_yr_month,YEAR,analysis,filing_status,submission_date,DEPARTMENT_NAME,DEPARTMENT_NUMBER,COUNTY_NAME,REGION,ZIP_CODE,CHIEF_ADMIN_NAME,total_stops,search_conducted_yes,search_reason_consent,search_reason_contraband,search_reason_probable,search_reason_inventory,search_reason_incident_to_arrest,contraband_discovered_yes,contraband_discovered_no,contraband_drugs paraphernailia,contraband_currency,contraband_weapons,contraband_alchohol,contraband_stolen property,contraband_other,result_verbal,result_written,result_citation,result_written_arrest,result_citation_arrest,result_arrest,arrest_penal_code,arrest_traffic,arrest_city_ordinance,arrest_warrant,physical_force_yes,physical_force_no,complaints,complaints_disciplinary_yes,complaints_disciplinary_no,physical_force_yes_bodily_injury_suspect,physical_force_yes_bodily_injury_officer,physical_force_yes_bodily_injury_both
02,2024,2024-02,2023,,Full,2/29/2024,HARRIS CO. CONST. PCT. 7,201107,HARRIS,4,77021,MAY E. WALKER,10742,521,9,8,95,147,262,209,312,50,0,17,8,32,102,3429,1123,5580,4,55,551,265,10,0,335,1,10741,0,0,0,0,0,0
02,2021,2021-02,2020,,Full,2/23/2021,HUMBLE POLICE DEPT.,201210,HARRIS,4,77338,KENNETH L. THEIS,10711,688,253,11,243,153,28,259,10452,149,1,35,28,3,43,2607,1057,6626,3,109,309,212,86,1,122,4,10707,1,0,1,,,
02,2023,2023-02,2022,TCOLE,Full,2/13/2023,COLLIN CO. SHERIFF'S OFFICE,085100,COLLIN,7,75071,JAMES O. SKINNER,10704,603,190,17,263,128,5,165,438,121,2,3,11,1,27,6573,2097,1978,4,8,44,34,3,1,18,1,10703,0,0,0,0,0,0
01,2025,2025-01,2024,TCOLE,Full,1/30/2025,ALVARADO POLICE DEPT.,251201,JOHNSON,7,76009,TEDDY C. MAY JR,10697,220,18,6,101,72,23,122,98,99,0,1,11,0,11,1726,4086,4736,13,54,82,53,26,0,70,0,10697,0,0,0,0,0,0
02,2025,2025-02,2024,TCOLE,Full,2/19/2025,CHAMBERS CO. SHERIFF'S OFFICE,071100,CHAMBERS,4,77514,BRIAN C. HAWTHORNE,10670,1357,495,6,738,80,38,476,881,394,9,83,39,12,9,78,8854,1327,32,4,375,305,21,0,85,1,10669,0,0,0,1,0,0
02,2022,2022-02,2021,Dept.,Full,2/26/2022,UNIV. OF TEXAS SYSTEM POLICE,453005,TRAVIS,7,78701,MICHAEL J. HEIDINGSFIELD,10668,317,48,19,116,82,52,176,141,126,1,12,30,0,7,5275,2718,2465,10,25,175,127,13,0,70,1,10667,0,0,0,1,0,0
02,2022,2022-02,2021,TCOLE,Full,2/21/2022,GALVESTON POLICE DEPT.,167204,GALVESTON,4,77552,DOUGLAS G. BALLI,10652,757,145,39,316,181,76,404,353,230,0,34,26,6,108,5232,1810,3043,5,68,494,235,94,4,234,11,10641,7,0,7,0,0,0
02,2023,2023-02,2022,TCOLE,Full,2/2/2023,PLAINVIEW POLICE DEPT.,189205,HALE,1,79072,DERRICK W. WATSON,10637,209,76,0,131,2,0,75,134,46,0,2,3,0,24,8828,31,1509,0,66,203,77,36,0,156,3,10634,0,0,0,1,2,0
02,2022,2022-02,2021,TCOLE,Full,2/9/2022,CEDAR HILL POLICE DEPT.,113205,DALLAS,6,75104,ELY B. REYES,10623,548,18,39,342,12,137,327,221,273,4,45,36,3,19,4941,919,4507,11,54,191,103,4,0,149,1,10622,1,0,1,0,1,0
02,2020,2020-02,2019,,Full,2/27/2020,ALVARADO POLICE DEPT.,251201,JOHNSON,8,76009,BRAD K. ANDERSON,10622,521,111,11,224,114,61,243,278,192,0,4,35,4,8,261,4668,5456,25,110,102,121,36,1,79,13,10609,,,,,,
02,2024,2024-02,2023,,Full,2/27/2024,BRENHAM POLICE DEPARTMENT,477201,WASHINGTON,9,77834,RONALD K. PARKER,10609,296,15,3,271,3,4,243,53,189,1,1,16,1,35,0,7163,3233,110,98,5,179,4,1,29,0,10609,1,0,1,0,0,0
02,2023,2023-02,2022,TCOLE,Full,2/14/2023,ALTON POLICE DEPT.,215216,HIDALGO,3,78574,JONATHAN B. FLORES,10591,52,7,1,16,13,15,22,30,17,0,1,2,0,2,0,5076,5439,0,0,76,31,17,0,28,4,10587,0,0,0,0,0,0
02,2025,2025-02,2024,TCOLE,Full,2/21/2025,CEDAR HILL POLICE DEPARTMENT ,113205,DALLAS,7,75104,ELY B. REYES,10580,613,12,18,302,11,270,319,294,279,0,54,31,1,7,0,6159,4022,226,173,0,91,21,0,287,1,10579,2,0,2,1,0,0
01,2025,2025-01,2024,TCOLE,Full,1/16/2025,EULESS POLICE DEPARTMENT ,439211,TARRANT,8,76040,GARY L. LANDERS,10576,565,73,21,278,13,180,344,221,274,0,30,55,2,28,1898,907,7394,1,374,2,199,103,34,41,22,10554,1,0,1,1,2,1
02,2021,2021-02,2020,,Full,2/6/2021,JERSEY VILLAGE POLICE DEPT.,201213,HARRIS,4,77040,KIRK H. RIGGS,10565,493,83,20,259,13,118,189,304,130,0,16,19,3,21,3805,169,6337,0,39,254,171,16,1,66,3,10562,1,0,1,,,
01,2024,2024-01,2023,,Full,1/5/2024,PARKER CO. SHERIFF'S OFFICE,367100,PARKER,8,76086,RUSSELL W. AUTHIER,10554,998,570,16,335,36,41,592,406,332,0,8,49,1,202,9914,71,270,9,3,287,151,28,0,120,11,10543,0,0,0,11,0,0
02,2024,2024-02,2023,,Full,2/19/2024,PORTLAND POLICE DEPT.,409206,SAN PATRICIO,3,78374,MARK W. CORY,10549,402,227,0,132,0,43,172,230,110,1,7,24,0,101,0,8484,1872,0,7,186,157,11,2,23,6,10543,0,0,0,0,1,0
02,2020,2020-02,2019,,Full,2/20/2020,Bee Cave Police Department,453213,TRAVIS,7,78738,GARY S. MILLER,10508,196,19,5,129,19,24,152,44,116,0,4,27,0,25,0,5217,5183,43,65,0,85,2,2,19,0,10508,,,,,,
02,2025,2025-02,2024,TCOLE,Full,2/20/2025,GREENVILLE POLICE DEPARTMENT ,231204,HUNT,6,75403,CHRISTOPHER S. SMITH,10468,506,153,12,277,17,47,215,291,168,2,3,20,0,45,7783,171,2237,23,41,213,156,15,0,106,0,10468,0,0,0,0,0,0
01,2025,2025-01,2024,TCOLE,Full,1/16/2025,PLAINVIEW POLICE DEPT.,189205,HALE,1,79072,DERRICK W. WATSON,10467,461,177,0,178,101,5,154,307,82,0,5,3,0,64,8918,31,1234,1,43,240,103,52,0,129,0,10467,0,0,0,0,0,0
02,2022,2022-02,2021,TCOLE,Full,2/14/2022,COMAL CO. SHERIFF'S OFFICE,091100,COMAL,7,78130,MARK W. REYNOLDS,10461,724,229,17,428,22,28,337,387,201,1,7,38,0,96,0,7941,2335,143,41,1,131,9,0,45,2,10459,0,0,0,0,0,0
02,2024,2024-02,2023,,Full,2/9/2024,TEXAS A & M UNIV. POLICE DEPARTMENT ,041005,BRAZOS,9,77845,JAMES M. JOHNSON,10452,214,16,18,107,23,50,117,97,76,0,2,20,1,18,869,6046,3341,84,75,37,137,18,2,39,1,10451,3,0,3,0,0,1
02,2025,2025-02,2024,TCOLE,Full,2/24/2025,BENBROOK POLICE DEPT.,439204,TARRANT,8,76126,DAVID R. BABCOCK,10444,561,28,36,355,4,138,323,238,223,0,11,56,13,20,5008,640,4331,0,261,204,344,1,0,120,0,10444,2,0,2,0,0,0
02,2024,2024-02,2023,,Full,2/26/2024,TEMPLE POLICE DEPARTMENT,027209,BELL,9,76501,SHAWN M. REYNOLDS,10429,816,162,36,335,82,201,437,379,255,19,43,108,22,51,2803,1949,5176,0,52,449,269,92,3,137,5,10424,0,0,0,1,0,0
02,2022,2022-02,2021,TCOLE,Full,2/22/2022,HARRIS CO. CONST. PCT. 7,201107,HARRIS,4,77021,MAY E. WALKER,10427,555,19,18,147,102,269,234,321,93,0,25,29,51,36,2001,781,7055,1,32,557,330,27,0,233,7,10420,0,0,0,0,0,0
02,2020,2020-02,2019,,Full,2/28/2020,ANGLETON POLICE DEPT.,039202,BRAZORIA,4,77515,AARON V. AUSMUS,10424,504,138,6,133,52,187,134,382,83,1,4,26,1,19,1617,5311,3079,31,82,244,160,117,1,61,43,10381,,,,,,
02,2020,2020-02,2019,,Full,2/25/2020,BRENHAM POLICE DEPT.,477201,WASHINGTON,7,77834,RUSSELL R. PANCOAST,10406,257,71,2,174,5,5,160,97,130,0,3,12,0,15,0,6442,3886,25,53,78,38,26,0,14,0,10406,,,,,,
02,2020,2020-02,2019,,Full,2/24/2020,MEMORIAL VILLAGES POLICE DEPT.,201231,HARRIS,4,77024,RAYMOND D. SCHULTZ,10401,70,28,3,20,3,16,32,38,21,0,1,0,0,12,0,5970,4248,47,136,183,21,44,3,115,1,10400,,,,,,
02,2023,2023-02,2022,TCOLE,Full,2/22/2023,MISSION POLICE DEPT.,215211,HIDALGO,3,78572,CESAR E. TORRES,10398,35,19,1,10,2,3,14,21,10,1,0,1,0,2,4,4761,5610,4,19,0,4,3,0,16,2,10396,0,0,0,0,0,0
02,2024,2024-02,2023,,Full,2/19/2024,WYLIE POLICE DEPARTMENT ,085201,COLLIN,7,75098,ANTHONY B. HENDERSON,10376,453,104,37,184,62,66,259,194,189,1,9,38,0,22,6985,1401,1662,11,26,291,173,27,0,128,1,10375,0,0,0,0,1,0
02,2025,2025-02,2024,Dept.,Full,2/27/2025,GILLESPIE CO. SHERIFF'S OFFICE,171100,GILLESPIE,10,78624,CHRISTOPHER AYALA,10369,688,278,11,356,31,12,383,305,298,1,21,62,1,40,8000,736,1484,7,23,119,86,23,0,40,2,10367,0,0,0,1,0,1
01,2022,2022-01,2021,Dept.,Full,1/26/2022,ABILENE POLICE DEPT.,441201,TAYLOR,2,79605,MARCUS T. DUDLEY,10357,559,121,21,305,9,103,283,276,217,0,12,27,2,25,5834,66,4169,0,60,228,180,9,0,99,7,10350,0,0,0,7,2,2
02,2024,2024-02,2023,,Full,2/21/2024,CEDAR HILL POLICE DEPT.,113205,DALLAS,7,75104,ELY B. REYES,10349,621,22,21,392,9,177,397,224,371,0,58,20,1,15,0,5309,4660,164,216,0,141,25,0,214,1,10348,1,0,1,1,0,0
02,2021,2021-02,2020,,Full,2/28/2021,ROANOKE POLICE DEPT.,121216,DENTON,8,76262,JERIAHME L. MILLER,10333,107,22,7,62,10,6,61,46,39,0,1,11,0,15,0,5962,4337,9,25,0,20,2,0,12,0,10333,0,0,0,,,
02,2024,2024-02,2023,,Full,2/13/2024,UNIVERSAL CITY Police Department ,029222,BEXAR,10,78148,JOHN N. SIEMENS JR.,10328,227,16,10,119,21,61,143,84,118,0,6,17,6,38,0,4208,6000,12,108,0,78,8,2,32,0,10328,0,0,0,0,0,0
02,2023,2023-02,2022,Dept.,Full,2/22/2023,TARRANT CO. SHERIFF'S OFFICE,439100,TARRANT,8,76196,BILLY E. WAYBOURN,10326,567,153,16,369,7,22,280,287,236,2,8,25,0,9,8355,734,1005,0,2,230,98,3,26,105,53,10273,0,0,0,47,6,0
02,2024,2024-02,2023,,Full,2/21/2024,LAKEWAY POLICE DEPT.,453208,TRAVIS,10,78734,GLEN D. KOEN,10319,300,27,38,171,31,33,222,78,155,0,8,57,2,1,0,4315,5720,27,210,47,244,1,0,39,1,10318,0,0,0,1,0,0
01,2020,2020-01,2019,,Full,1/21/2020,DAYTON POLICE DEPT.,291204,LIBERTY,4,77535,ROBERT G. VINE,10304,304,90,4,98,70,42,121,183,109,0,1,2,1,8,0,6181,3824,36,153,110,110,79,0,110,14,10290,,,,,,
02,2021,2021-02,2020,,Full,2/25/2021,TEXAS A & M UNIV. POLICE DEPT.,041005,BRAZOS,7,77843,JAMES M. JOHNSON,10291,342,20,30,165,40,87,198,144,102,0,3,90,1,31,399,6629,2960,119,78,106,232,33,0,38,2,10289,2,0,2,,,
02,2025,2025-02,2024,Dept.,Full,2/20/2025,TEXAS A & M UNIV. POLICE DEPARTMENT ,041005,BRAZOS,9,77845,JAMES M. JOHNSON,10272,319,16,20,131,18,134,143,176,80,0,9,22,2,31,1462,6082,2529,112,34,53,108,37,2,52,0,10272,3,0,3,0,0,0
02,2025,2025-02,2024,Dept.,Full,2/3/2025,BEDFORD POLICE DEPARTMENT,439203,TARRANT,8,76021,ROBERT C. LAPENNA,10266,466,113,18,225,1,109,231,235,200,0,8,26,1,13,5386,196,4348,1,175,160,132,18,95,91,2,10264,0,0,0,2,0,0
01,2025,2025-01,2024,Dept.,Full,1/23/2025,MONTGOMERY CO. CONST. PCT. 4,339104,MONTGOMERY,5,77357,KENNETH V. HAYDEN,10263,1309,645,24,353,124,163,490,819,290,6,75,118,20,34,7407,261,1904,0,12,679,485,28,2,176,7,10256,0,0,0,4,0,1
01,2022,2022-01,2021,TCOLE,Full,1/14/2022,SULPHUR SPRINGS POLICE DEPT.,223203,HOPKINS,5,75482,JASON W. RICKETSON,10243,772,403,20,336,7,6,375,397,273,0,2,57,0,43,5858,0,4231,0,53,101,75,10,0,69,0,10243,0,0,0,0,0,0
01,2024,2024-01,2023,,Full,1/26/2024,MAGNOLIA POLICE DEPT.,339203,MONTGOMERY,5,77354,KYLE S. MONTGOMERY,10232,589,191,9,249,27,113,251,338,177,0,11,39,1,32,51,6604,3392,173,10,2,160,5,0,20,1,10231,0,0,0,1,0,0
01,2023,2023-01,2022,TCOLE,Full,1/19/2023,TOMBALL POLICE DEPT.,201228,HARRIS,4,77375,JEFFREY J. BERT,10210,475,177,22,241,19,16,272,203,181,1,8,34,3,45,8494,55,1408,5,9,239,164,4,0,85,2,10208,0,0,0,2,0,0
02,2025,2025-02,2024,TCOLE,Full,2/26/2025,MISSION POLICE DEPARTMENT ,215211,HIDALGO,3,78572,TEODORO RODRIGUEZ JR,10199,62,35,3,18,1,5,25,37,13,0,2,4,0,7,25,4896,5237,14,27,0,12,9,0,20,31,10168,0,0,0,1,2,2
02,2022,2022-02,2021,Dept.,Full,2/10/2022,FULSHEAR POLICE DEPT.,157210,FORT BEND,4,77441,KENNETH R. SEYMOUR,10191,162,27,4,104,6,21,75,87,57,0,5,13,0,1,0,6010,4127,16,38,0,22,5,0,27,1,10190,0,0,0,1,0,0
02,2020,2020-02,2019,,Full,2/19/2020,DENTON CO. SHERIFF'S OFFICE,121100,DENTON,8,76205,TRACY Q. MURPHREE,10176,480,198,6,236,11,23,226,248,162,0,3,19,1,41,391,5973,3650,11,14,128,103,10,0,37,16,10160,,,,,,
09,2020,2020-09,2019,,Full,9/2/2020,NACOGDOCHES POLICE DEPT.,347205,NACOGDOCHES,5,75963,JIMMIE S. SEVEY,10175,421,166,9,219,19,8,224,197,195,6,8,21,1,12,3435,2320,4351,8,21,40,40,8,0,21,26,10149,1,0,1,,,
02,2020,2020-02,2019,,Full,2/28/2020,SOCORRO POLICE DEPT.,141212,EL PASO,2,79927,DAVID J. BURTON,10175,797,547,86,63,0,101,279,268,85,0,12,182,0,0,2775,0,6838,0,0,137,0,425,0,137,0,10175,,,,,,
01,2020,2020-01,2019,,Full,1/2/2020,WOODWAY PUBLIC SAFETY DEPARTMENT,309214,McLENNAN,6,76712,BRET L. CROOK,10162,697,243,9,281,58,106,379,318,313,0,9,47,3,7,222,7185,2376,36,41,302,195,16,0,205,7,10155,,,,,,
01,2022,2022-01,2021,Dept.,Full,1/26/2022,LOS FRESNOS POLICE DEPT.,061207,CAMERON,3,78566,HECTOR GONZALEZ,10149,281,31,13,133,66,38,192,89,117,4,4,58,0,40,0,2824,7163,40,122,0,82,9,1,70,11,10138,0,0,0,11,0,0
02,2021,2021-02,2020,,Full,2/11/2021,ROSENBERG POLICE DEPT.,157204,FORT BEND,4,77471,JONATHAN G. WHITE,10147,664,172,8,267,181,36,255,409,175,0,6,33,2,52,0,5853,4146,53,95,0,78,41,1,28,2,10145,3,0,3,,,
03,2020,2020-03,2019,,Full,3/4/2020,MIDLOTHIAN POLICE DEPT.,139207,ELLIS,6,76065,CARL D. SMITH,10144,366,65,19,202,35,45,214,152,176,1,3,20,6,18,267,5998,3667,72,10,130,148,12,0,52,7,10137,,,,,,
02,2020,2020-02,2019,,Full,2/10/2020,HURST POLICE DEPT.,439219,TARRANT,8,76054,STEVEN R. NIEKAMP,10119,339,48,21,87,25,158,165,174,112,2,4,29,18,17,1641,2066,6191,3,155,63,106,60,5,50,4,10115,,,,,,
02,2023,2023-02,2022,Dept.,Full,2/13/2023,HARRIS CO. CONST. PCT. 2,201102,HARRIS,4,77506,ISABEL G. GARCIA,10119,680,73,11,131,264,201,398,282,95,3,44,27,6,223,2386,1239,6042,12,62,378,248,9,2,193,11,10108,0,0,0,11,0,0
02,2025,2025-02,2024,Dept.,Full,2/4/2025,DENISON POLICE DEPT.,181203,GRAYSON,7,75021,MICHAEL A. GUDGEL,10119,515,187,29,277,17,5,366,149,273,0,10,68,2,55,0,7154,2904,37,24,0,36,1,1,23,8,10111,0,0,0,1,2,1
02,2025,2025-02,2024,Dept.,Full,2/4/2025,HUTTO POLICE DEPARTMENT,491206,WILLIAMSON,9,78634,JEFFREY D. YARBROUGH,10117,322,36,17,227,15,27,218,104,134,1,5,32,0,77,0,6032,3990,64,31,0,37,17,0,41,1,10116,0,0,0,0,0,0
01,2024,2024-01,2023,,Full,1/11/2024,SULPHUR SPRINGS Police Department ,223203,HOPKINS,6,75482,JASON W. RICKETSON,10109,550,184,1,350,4,11,325,225,233,0,4,62,0,26,5940,0,4021,0,36,112,59,18,0,71,0,10109,0,0,0,0,0,0
02,2025,2025-02,2024,TCOLE,Full,2/26/2025,CASTLE HILLS POLICE DEPARTMENT ,029203,BEXAR,10,78213,SHEILA R. VITACCO,10106,239,10,15,136,6,72,201,38,144,0,3,31,10,21,0,3279,6658,52,117,0,144,2,1,22,9,10097,1,0,1,0,0,0
02,2025,2025-02,2024,Dept.,Full,2/5/2025,FERRIS POLICE DEPT.,139203,ELLIS,7,75125,JESUS MANCILLAS,10097,27,1,1,22,1,2,12,15,11,1,0,0,0,0,69,1073,8947,0,8,0,6,0,0,2,6,10091,0,0,0,0,0,0
02,2020,2020-02,2019,,Full,2/6/2020,FREDERICKSBURG POLICE DEPT.,171201,GILLESPIE,2,78624,STEVEN T. WETZ,10070,149,40,1,56,3,49,72,77,67,0,0,6,0,3,952,8013,1044,26,17,18,39,15,0,7,3,10067,,,,,,
02,2025,2025-02,2024,Dept.,Full,2/11/2025,PALMER POLICE DEPT.,139210,ELLIS,7,75152,JOHN A. ZAIDLE,10069,98,1,18,46,30,3,60,38,53,1,1,7,0,2,0,1065,8997,3,4,0,2,0,0,5,4,10065,0,0,0,0,0,1
01,2023,2023-01,2022,Dept.,Full,1/31/2023,ALVIN POLICE DEPT,039201,BRAZORIA,4,77511,ROBERT E. LEE,10062,537,126,5,201,127,78,301,236,144,1,12,24,0,120,5294,2000,2267,16,53,432,166,145,1,189,16,10046,1,0,1,16,0,0
01,2024,2024-01,2023,,Full,1/26/2024,CHAMBERS CO. SHERIFF'S OFFICE,071100,CHAMBERS,4,77514,BRIAN C. HAWTHORNE,10055,1035,320,13,594,77,31,373,662,306,10,80,28,11,17,33,8419,1202,42,21,338,289,38,1,73,0,10055,0,0,0,0,0,0
02,2022,2022-02,2021,TCOLE,Full,2/8/2022,HARLINGEN POLICE DEPT.,061204,CAMERON,3,78550,MICHAEL E. KESTER,10041,244,137,10,60,15,22,78,166,56,0,2,15,3,7,0,7178,2719,131,13,0,106,18,0,20,0,10041,0,0,0,0,0,0
09,2020,2020-09,2019,,Full,9/2/2020,KERRVILLE POLICE DEPT.,265201,KERR,2,78028,DAVID J. KNIGHT,10040,301,30,9,152,16,94,187,114,118,0,1,38,6,24,0,6388,3467,18,167,0,102,61,0,22,1,10037,0,0,0,,,
02,2025,2025-02,2024,Dept.,Full,2/28/2025,SAN MARCOS POLICE DEPT.,209203,HAYS,10,78666,STAN L. STANDRIDGE,10040,103,23,11,43,8,18,65,38,49,2,3,15,0,9,5482,622,3894,1,10,31,14,8,1,19,0,10040,0,0,0,0,0,0
02,2023,2023-02,2022,Dept.,Full,2/20/2023,GRAPEVINE POLICE DEPT.,439216,TARRANT,8,76051,MICHAEL D. HAMLIN,10024,349,40,9,111,30,159,147,202,83,0,16,27,1,19,269,4846,4646,25,100,138,189,15,1,58,0,10024,0,0,0,0,0,0
02,2021,2021-02,2020,,Full,2/16/2021,FARMERS BRANCH POLICE DEPT.,113211,DALLAS,6,75244,DAVID M. HALE,10010,350,38,4,205,54,49,187,163,154,1,0,7,1,24,0,4733,5125,40,112,0,53,60,0,39,3,10007,1,0,1,,,
02,2022,2022-02,2021,Dept.,Full,2/22/2022,WYLIE POLICE DEPT.,085201,COLLIN,6,75098,ANTHONY B. HENDERSON,9979,668,145,84,323,47,69,431,237,312,1,12,34,0,72,7295,958,1447,2,6,271,196,12,0,71,1,9978,2,0,2,1,0,0
02,2023,2023-02,2022,Dept.,Full,2/23/2023,HAYS CO. SHERIFF'S OFFICE,209100,HAYS,10,78666,GARY M. CUTLER,9969,618,116,22,428,36,16,423,195,310,3,28,83,5,55,7772,289,1792,3,9,104,67,9,0,40,4,9965,0,0,0,4,0,0
02,2021,2021-02,2020,,Full,2/24/2021,WESLACO POLICE DEPT.,215215,HIDALGO,3,78596,JOEL RIVERA,9963,434,290,9,123,4,8,90,9873,87,0,0,3,0,0,0,7713,2151,48,51,0,54,23,0,22,2,9961,0,0,0,,,
01,2024,2024-01,2023,,Full,1/29/2024,COPPERAS COVE POLICE DEPT.,099201,CORYELL,9,76522,EARL E. WILSON,9955,509,111,10,338,29,21,269,240,216,0,25,32,5,50,6904,448,2273,0,21,309,154,13,0,163,4,9951,3,0,3,4,0,4
01,2023,2023-01,2022,TCOLE,Full,1/27/2023,ANNA POLICE DEPT.,085204,COLLIN,7,75409,DEAN R. HABEL,9946,144,18,18,89,4,15,108,36,74,0,2,26,0,26,0,7599,2292,29,26,0,35,4,2,14,1,9945,1,0,1,0,0,0
02,2024,2024-02,2023,,Full,2/5/2024,JERSEY VILLAGE POLICE DEPARTMENT,201213,HARRIS,4,77040,ARTHUR D. KEELE JR,9942,281,21,6,192,31,31,149,132,103,0,30,12,3,25,0,3366,6443,60,73,0,60,5,0,68,3,9939,0,0,0,0,0,0
03,2021,2021-03,2020,,Full,3/17/2021,GALVESTON CO. SHERIFF'S OFFICE,167100,GALVESTON,4,77551,HENRY A. TROCHESSET,9936,829,450,37,182,80,79,219,609,103,0,10,66,1,39,5079,1469,3135,5,22,226,120,68,0,65,16,9920,8,4,4,,,
01,2023,2023-01,2022,TCOLE,Full,1/17/2023,JEFFERSON CO. SHERIFF'S OFFICE,245100,JEFFERSON,4,77701,ZENA A. STEPHENS,9926,277,161,0,113,3,0,114,163,95,18,19,0,0,1,0,7549,2144,0,0,233,0,0,0,233,0,9926,0,0,0,0,0,0
02,2020,2020-02,2019,,Full,2/24/2020,GUADALUPE CO. SHERIFF'S OFFICE,187100,GUADALUPE,7,78155,ARNOLD S. ZWICKE,9899,770,153,1,379,52,185,322,9577,181,1,4,31,0,105,15,7794,1757,200,129,4,326,1,0,6,0,9899,,,,,,
02,2022,2022-02,2021,Dept.,Full,2/21/2022,TEXAS A & M UNIV. POLICE DEPT.,041005,BRAZOS,7,77843,JAMES M. JOHNSON,9885,436,33,35,214,82,72,251,185,139,0,1,78,0,33,452,6356,2679,188,127,83,284,49,0,65,2,9883,0,0,0,2,0,0
01,2024,2024-01,2023,,Full,1/9/2024,KENDALL CO. SHERIFF'S OFFICE,259100,KENDALL,10,78006,ALBERT R. AUXIER,9858,160,35,4,85,13,23,79,81,65,1,2,9,0,7,0,6357,3464,29,8,0,22,5,0,10,4,9854,0,0,0,0,0,0
02,2023,2023-02,2022,Dept.,Full,2/7/2023,FULSHEAR POLICE DEPT.,157210,FORT BEND,4,77441,KENNETH R. SEYMOUR,9855,186,22,6,125,33,0,108,78,80,0,2,22,1,3,0,5833,3963,21,38,0,27,4,0,28,0,9855,0,0,0,0,0,0
02,2020,2020-02,2019,,Full,2/28/2020,METRO TRANSIT POLICE DEPT.,201290,HARRIS,4,77208,VERA E. BUMPERS,9850,114,24,10,14,0,66,17,9833,13,0,1,2,0,1,942,6800,2039,0,0,69,6,22,0,41,0,9850,,,,,,
02,2023,2023-02,2022,Dept.,Full,2/20/2023,WYLIE POLICE DEPT.,085201,COLLIN,7,75098,ANTHONY B. HENDERSON,9846,563,150,53,255,56,49,380,183,290,0,10,33,3,44,7478,885,1212,4,13,254,156,24,0,91,1,9845,2,0,2,1,0,0
03,2021,2021-03,2020,,Full,3/21/2021,HARLINGEN POLICE DEPT.,061204,CAMERON,3,78550,MICHAEL E. KESTER,9844,74,43,7,15,7,2,31,43,21,0,0,5,1,5,0,7456,2353,22,13,0,20,3,0,12,2,9842,0,0,0,,,
01,2024,2024-01,2023,,Full,1/26/2024,HUMBLE POLICE DEPT.,201210,HARRIS,4,77338,KENNETH L. THEIS,9832,714,68,15,229,354,48,208,506,124,0,22,27,3,32,3021,765,5347,4,243,452,212,227,5,255,0,9832,1,0,1,0,0,0
03,2020,2020-03,2019,,Full,3/10/2020,MISSION POLICE DEPT.,215211,HIDALGO,3,78572,ROBERT DOMINGUEZ,9813,29,14,2,6,3,4,13,16,11,0,1,1,0,0,136,1007,7038,75,154,1403,2,283,0,1118,34,9779,,,,,,
01,2024,2024-01,2023,,Full,1/8/2024,CROWLEY POLICE DEPARTMENT ,439208,TARRANT,8,76036,KIT A. LONG,9798,413,29,31,311,20,22,279,134,209,0,11,55,7,41,4452,827,4327,29,137,26,81,5,2,104,1,9797,2,0,2,1,0,0
02,2021,2021-02,2020,,Full,2/10/2021,COMAL CO. SHERIFF'S OFFICE,091100,COMAL,7,78130,MARK W. REYNOLDS,9792,469,164,11,249,19,26,205,264,138,0,1,29,0,43,0,6985,2674,83,50,0,97,13,0,23,3,9789,0,0,0,,,
03,2021,2021-03,2020,,Full,3/15/2021,DENTON POLICE DEPT.,121204,DENTON,8,76205,FRANK R. DIXON III,9778,674,85,35,225,31,298,317,357,219,11,10,71,9,35,2005,1486,5851,2,180,254,377,18,3,38,1,9777,1,0,1,,,
01,2025,2025-01,2024,Dept.,Full,1/13/2025,BELTON POLICE DEPARTMENT ,027202,BELL,9,76513,LARRY T. BERG,9776,490,95,8,212,75,100,232,258,148,0,14,44,8,45,100,6723,2678,116,71,88,141,59,0,75,12,9764,0,0,0,0,0,3
02,2020,2020-02,2019,,Full,2/24/2020,COPPERAS COVE POLICE DEPT.,099201,CORYELL,8,76522,EARL E. WILSON,9774,786,401,67,265,9,44,173,613,144,7,3,9,2,8,375,4179,4958,0,0,262,122,11,5,124,16,9758,,,,,,
01,2024,2024-01,2023,,Full,1/4/2024,ARANSAS COUNTY SHERIFF'S OFFICE,007100,ARANSAS,3,78382,WILLIAM A. MILLS,9763,92,24,0,68,0,0,58,34,45,0,0,13,0,0,8554,46,1126,14,21,2,27,1,0,9,0,9763,0,0,0,0,0,0
02,2024,2024-02,2023,,Full,2/20/2024,MONTGOMERY CO. CONST. PCT. 5,339105,MONTGOMERY,5,77355,CHRISTOPHER M. JONES,9762,1951,1161,18,653,75,44,598,1353,463,3,32,46,8,83,8291,150,685,1,2,633,448,5,4,179,6,9756,0,0,0,0,0,6
02,2025,2025-02,2024,TCOLE,Full,2/24/2025,MONTGOMERY CO. CONST. PCT. 5,339105,MONTGOMERY,5,77355,CHRISTOPHER M. JONES,9758,1811,1018,23,648,67,55,693,1118,533,9,75,71,3,94,7896,81,900,76,27,778,734,3,0,144,7,9751,0,0,0,1,0,6
01,2025,2025-01,2024,TCOLE,Full,1/21/2025,SAN BENITO POLICE DEPT.,061211,CAMERON,3,78586,MARIO G. PEREA,9758,227,61,4,91,2,69,101,126,72,2,0,20,5,13,53,6819,2710,106,58,12,60,4,0,112,8,9750,0,0,0,5,1,2
